wifi1-dt,wifi1-val,co21-dt,co21-val,elec1-dt,elec1-val,truth-dt,truth-val
2/2/2019 5:31,1,2/2/2019 5:31,449,2/2/2019 5:31,4974.06,2019-02-02 05:31:00,1
2/2/2019 5:41,1,2/2/2019 5:41,458,2/2/2019 5:41,5071.65,2019-02-02 05:41:00,1
2/2/2019 5:51,1,2/2/2019 5:51,469,2/2/2019 5:51,4989.31,2019-02-02 05:51:00,1
2/2/2019 6:01,1,2/2/2019 6:01,527,2/2/2019 6:01,5017.7,2019-02-02 06:01:00,1
2/2/2019 6:11,1,2/2/2019 6:11,499,2/2/2019 6:11,5544.5,2019-02-02 06:11:00,1
2/2/2019 6:21,0,2/2/2019 6:21,545,2/2/2019 6:21,5439.0,2019-02-02 06:21:00,1
2/2/2019 6:31,0,2/2/2019 6:31,523,2/2/2019 6:31,5396.07,2019-02-02 06:31:00,1
2/2/2019 6:41,0,2/2/2019 6:41,497,2/2/2019 6:41,5146.0,2019-02-02 06:41:00,1
2/2/2019 6:51,0,2/2/2019 6:51,495,2/2/2019 6:51,4885.4,2019-02-02 06:51:00,1
2/2/2019 7:01,0,2/2/2019 7:01,467,2/2/2019 7:01,5746.1,2019-02-02 07:01:00,1
2/2/2019 7:11,0,2/2/2019 7:11,448,2/2/2019 7:11,5766.9,2019-02-02 07:11:00,1
2/2/2019 7:21,0,2/2/2019 7:21,439,2/2/2019 7:21,5752.5,2019-02-02 07:21:00,1
2/2/2019 7:31,0,2/2/2019 7:31,427,2/2/2019 7:31,5494.0,2019-02-02 07:31:00,1
2/2/2019 7:41,0,2/2/2019 7:41,425,2/2/2019 7:41,6180.92,2019-02-02 07:41:00,1
2/2/2019 7:51,0,2/2/2019 7:51,420,2/2/2019 7:51,5924.85,2019-02-02 07:51:00,1
2/2/2019 8:01,0,2/2/2019 8:01,426,2/2/2019 8:01,5871.05,2019-02-02 08:01:00,1
2/2/2019 8:11,1,2/2/2019 8:11,419,2/2/2019 8:11,5242.8,2019-02-02 08:11:00,1
2/2/2019 8:21,1,2/2/2019 8:21,416,2/2/2019 8:21,5022.3,2019-02-02 08:21:00,1
2/2/2019 8:41,1,2/2/2019 8:41,408,2/2/2019 8:41,6235.3,2019-02-02 08:41:00,1
2/2/2019 8:51,1,2/2/2019 8:51,404,2/2/2019 8:51,4644.43,2019-02-02 08:51:00,1
2/2/2019 9:01,1,2/2/2019 9:01,407,2/2/2019 9:01,8209.58,2019-02-02 09:01:00,1
2/2/2019 9:11,1,2/2/2019 9:11,405,2/2/2019 9:11,5050.9,2019-02-02 09:11:00,1
2/2/2019 9:21,1,2/2/2019 9:21,402,2/2/2019 9:21,5446.6,2019-02-02 09:21:00,1
2/2/2019 9:31,1,2/2/2019 9:31,406,2/2/2019 9:31,8106.5,2019-02-02 09:31:00,1
2/2/2019 9:41,1,2/2/2019 9:41,402,2/2/2019 9:41,4666.9,2019-02-02 09:41:00,1
2/2/2019 9:51,1,2/2/2019 9:51,395,2/2/2019 9:51,5289.38,2019-02-02 09:51:00,1
2/2/2019 10:01,1,2/2/2019 10:01,404,2/2/2019 10:01,6266.41,2019-02-02 10:01:00,1
2/2/2019 10:11,1,2/2/2019 10:11,401,2/2/2019 10:11,4827.17,2019-02-02 10:11:00,1
2/2/2019 10:21,1,2/2/2019 10:21,402,2/2/2019 10:21,6369.0,2019-02-02 10:21:00,1
2/2/2019 10:31,1,2/2/2019 10:31,406,2/2/2019 10:31,4929.4,2019-02-02 10:31:00,1
2/2/2019 10:41,1,2/2/2019 10:41,397,2/2/2019 10:41,4632.5,2019-02-02 10:41:00,1
2/2/2019 10:51,1,2/2/2019 10:51,399,2/2/2019 10:51,4509.9,2019-02-02 10:51:00,1
2/2/2019 11:01,1,2/2/2019 11:01,398,2/2/2019 11:01,4667.07,2019-02-02 11:01:00,1
2/2/2019 11:11,1,2/2/2019 11:11,397,2/2/2019 11:11,5439.99,2019-02-02 11:11:00,1
2/2/2019 11:21,1,2/2/2019 11:21,395,2/2/2019 11:21,5314.8,2019-02-02 11:21:00,1
2/2/2019 11:31,1,2/2/2019 11:31,405,2/2/2019 11:31,5217.9,2019-02-02 11:31:00,1
2/2/2019 11:41,1,2/2/2019 11:41,400,2/2/2019 11:41,4592.0,2019-02-02 11:41:00,1
2/2/2019 11:51,1,2/2/2019 11:51,392,2/2/2019 11:51,5583.24,2019-02-02 11:51:00,1
2/2/2019 12:01,1,2/2/2019 12:01,394,2/2/2019 12:01,5667.07,2019-02-02 12:01:00,1
2/2/2019 12:11,1,2/2/2019 12:11,390,2/2/2019 12:11,6452.68,2019-02-02 12:11:00,1
2/2/2019 12:21,1,2/2/2019 12:21,398,2/2/2019 12:21,5143.14,2019-02-02 12:21:00,1
2/2/2019 12:31,2,2/2/2019 12:31,398,2/2/2019 12:31,5052.8,2019-02-02 12:31:00,1
2/2/2019 12:41,2,2/2/2019 12:41,395,2/2/2019 12:41,17618.6,2019-02-02 12:41:00,1
2/2/2019 12:51,1,2/2/2019 12:51,386,2/2/2019 12:51,10157.5,2019-02-02 12:51:00,1
2/2/2019 13:01,1,2/2/2019 13:01,396,2/2/2019 13:01,8854.2,2019-02-02 13:01:00,1
2/2/2019 13:11,1,2/2/2019 13:11,395,2/2/2019 13:11,12492.4,2019-02-02 13:11:00,1
2/2/2019 13:21,1,2/2/2019 13:21,391,2/2/2019 13:21,13074.78,2019-02-02 13:21:00,1
2/2/2019 13:31,1,2/2/2019 13:31,386,2/2/2019 13:31,7379.1,2019-02-02 13:31:00,1
2/2/2019 13:41,1,2/2/2019 13:41,385,2/2/2019 13:41,4869.9,2019-02-02 13:41:00,1
2/2/2019 13:51,1,2/2/2019 13:51,387,2/2/2019 13:51,13966.3,2019-02-02 13:51:00,1
2/2/2019 14:01,2,2/2/2019 14:01,397,2/2/2019 14:01,14306.8,2019-02-02 14:01:00,1
2/2/2019 14:11,1,2/2/2019 14:11,395,2/2/2019 14:11,19763.6,2019-02-02 14:11:00,1
2/2/2019 14:21,2,2/2/2019 14:21,391,2/2/2019 14:21,17183.2,2019-02-02 14:21:00,1
2/2/2019 14:31,1,2/2/2019 14:31,394,2/2/2019 14:31,14796.91,2019-02-02 14:31:00,1
2/2/2019 14:41,1,2/2/2019 14:41,395,2/2/2019 14:41,14148.25,2019-02-02 14:41:00,1
