,AP.VIRIDIAN2_Total_Count
2019-07-02 07:29:31.435012800,4
2019-07-02 07:29:31.469009300,4
2019-07-02 07:29:31.471008300,4
2019-07-02 07:29:31.484008700,4
2019-07-02 07:31:31.400009100,4
2019-07-02 07:31:31.417007400,4
2019-07-02 07:31:31.451004000,4
2019-07-02 07:31:31.462005600,4
2019-07-02 07:31:31.497009200,4
2019-07-02 07:31:31.499008100,4
2019-07-02 07:31:31.511001500,4
2019-07-02 07:32:31.413009600,4
2019-07-02 07:32:31.431015000,4
2019-07-02 07:32:31.467010400,4
2019-07-02 07:32:31.479003900,4
2019-07-02 07:32:31.513000400,4
2019-07-02 07:32:31.515014600,4
2019-07-02 07:32:31.527008000,4
2019-07-02 07:33:31.412002500,4
2019-07-02 07:33:31.429000800,4
2019-07-02 07:33:31.465011500,4
2019-07-02 07:33:31.477005000,4
2019-07-02 07:33:31.511001500,4
2019-07-02 07:33:31.512008600,4
2019-07-02 07:33:31.524002000,4
2019-07-02 07:34:31.414001400,4
2019-07-02 07:34:31.431015000,4
2019-07-02 07:34:31.467010400,4
2019-07-02 07:34:31.479003900,4
2019-07-02 07:34:31.516006400,4
2019-07-02 07:34:31.517013500,4
2019-07-02 07:34:31.529006900,4
2019-07-02 07:35:31.435012800,4
2019-07-02 07:35:31.453002900,4
2019-07-02 07:35:31.490005400,4
2019-07-02 07:35:31.503005900,4
2019-07-02 07:35:31.544006300,4
2019-07-02 07:35:31.546005200,4
2019-07-02 07:35:31.558013900,4
2019-07-02 07:36:31.433013900,4
2019-07-02 07:36:31.452011100,4
2019-07-02 07:36:31.485000600,4
2019-07-02 07:36:31.497009200,4
2019-07-02 07:36:31.532012900,4
2019-07-02 07:36:31.533004700,4
2019-07-02 07:36:31.545013400,4
2019-07-02 07:37:31.442001300,4
2019-07-02 07:37:31.462005600,4
2019-07-02 07:37:31.501007000,4
2019-07-02 07:37:31.515014600,4
2019-07-02 07:37:31.552001900,4
2019-07-02 07:37:31.554000800,4
2019-07-02 07:37:31.568008400,4
2019-07-02 07:38:31.453002900,4
2019-07-02 07:38:31.470001200,4
2019-07-02 07:38:31.508010800,4
2019-07-02 07:38:31.521011300,4
2019-07-02 07:38:31.562011700,4
2019-07-02 07:38:31.563003500,4
2019-07-02 07:38:31.576004000,4
2019-07-02 07:39:31.455001800,4
2019-07-02 07:39:31.474014200,4
2019-07-02 07:39:31.508010800,4
2019-07-02 07:39:31.519012400,4
2019-07-02 07:39:31.559005700,4
2019-07-02 07:39:31.561004600,4
2019-07-02 07:39:31.574005100,4
2019-07-02 07:41:31.477005000,4
2019-07-02 07:41:31.496002100,4
2019-07-02 07:41:31.538009600,4
2019-07-02 07:41:31.552001900,4
2019-07-02 07:41:31.586013700,4
2019-07-02 07:41:31.587005600,4
2019-07-02 07:41:31.600006100,4
2019-07-02 07:42:31.479003900,4
2019-07-02 07:42:31.496002100,4
2019-07-02 07:42:31.529006900,4
2019-07-02 07:42:31.541000300,4
2019-07-02 07:42:31.581008900,4
2019-07-02 07:42:31.583007800,4
2019-07-02 07:42:31.595001200,4
2019-07-02 07:43:31.500000000,4
2019-07-02 07:43:31.518005300,4
2019-07-02 07:43:31.559005700,4
2019-07-02 07:43:31.571014400,4
2019-07-02 07:43:31.605010900,4
2019-07-02 07:43:31.607009800,4
2019-07-02 07:43:31.619003200,4
2019-07-02 07:44:31.494003200,4
2019-07-02 07:44:31.512008600,4
2019-07-02 07:44:31.549011200,4
2019-07-02 07:44:31.561004600,4
2019-07-02 07:44:31.600006100,4
2019-07-02 07:44:31.602005000,4
2019-07-02 07:44:31.615005400,4
2019-07-02 07:45:31.501007000,4
2019-07-02 07:45:31.520004200,4
2019-07-02 07:45:31.554000800,4
2019-07-02 07:45:31.567001300,4
2019-07-02 07:45:31.605010900,4
2019-07-02 07:45:31.606002800,4
2019-07-02 07:45:31.619003200,4
2019-07-02 07:46:31.504013000,4
2019-07-02 07:46:31.521011300,4
2019-07-02 07:46:31.557006800,4
2019-07-02 07:46:31.568008400,4
2019-07-02 07:46:31.604003900,4
2019-07-02 07:46:31.605010900,4
2019-07-02 07:46:31.619003200,4
2019-07-02 07:47:31.506011900,4
2019-07-02 07:47:31.525009100,4
2019-07-02 07:47:31.561004600,4
2019-07-02 07:47:31.574005100,4
2019-07-02 07:47:31.610000600,4
2019-07-02 07:47:31.611007600,4
2019-07-02 07:47:31.624008100,4
2019-07-02 07:48:31.524002000,4
2019-07-02 07:48:31.542007400,4
2019-07-02 07:48:31.578002900,4
2019-07-02 07:48:31.590011500,4
2019-07-02 07:48:31.624008100,4
2019-07-02 07:48:31.626007000,4
2019-07-02 07:48:31.638000400,4
2019-07-02 07:49:31.547012300,4
2019-07-02 07:49:31.564010600,4
2019-07-02 07:49:31.598007200,4
2019-07-02 07:49:31.610000600,4
2019-07-02 07:49:31.648010200,4
2019-07-02 07:49:31.649002000,4
2019-07-02 07:49:31.661010700,4
2019-07-02 07:51:31.580001800,3
2019-07-02 07:51:31.597000100,3
2019-07-02 07:51:31.633010800,3
2019-07-02 07:51:31.644012400,3
2019-07-02 07:51:31.677001900,3
2019-07-02 07:51:31.679000800,3
2019-07-02 07:51:31.690002400,3
2019-07-02 07:52:31.582000700,3
2019-07-02 07:52:31.599014200,3
2019-07-02 07:52:31.639007500,3
2019-07-02 07:52:31.653015100,3
2019-07-02 07:52:31.690002400,3
2019-07-02 07:52:31.692001300,3
2019-07-02 07:52:31.705001800,3
2019-07-02 07:53:31.594009300,3
2019-07-02 07:53:31.611007600,3
2019-07-02 07:53:31.646011300,3
2019-07-02 07:53:31.658004700,3
2019-07-02 07:53:31.696014400,3
2019-07-02 07:53:31.698013300,3
2019-07-02 07:53:31.711013700,3
2019-07-02 07:54:31.611007600,3
2019-07-02 07:54:31.628005900,3
2019-07-02 07:54:31.663009600,3
2019-07-02 07:54:31.675003000,3
2019-07-02 07:54:31.708007800,3
2019-07-02 07:54:31.710006700,3
2019-07-02 07:54:31.723007200,3
2019-07-02 07:55:31.624008100,3
2019-07-02 07:55:31.646011300,3
2019-07-02 07:55:31.684005700,3
2019-07-02 07:55:31.698013300,3
2019-07-02 07:55:31.737014700,3
2019-07-02 07:55:31.739013600,3
2019-07-02 07:55:31.753005900,3
2019-07-02 07:56:31.636001500,3
2019-07-02 07:56:31.652008000,3
2019-07-02 07:56:31.689010600,3
2019-07-02 07:56:31.701004000,3
2019-07-02 07:56:31.735000600,3
2019-07-02 07:56:31.737014700,3
2019-07-02 07:56:31.748001000,3
2019-07-02 07:57:31.633010800,3
