threshold,COR-MOR_logistic,COR-MOR_percentile,COR-MOR_perfect,ROC_x_percentile,ROC_y_percentile,ROC_x_logistic,ROC_y_logistic,ROC_x_perfect,ROC_y_perfect,CMC_x_percentile,CMC_y_percentile,CMC_x_logistic,CMC_y_logistic,CMC_x_perfect,CMC_y_perfect
0.166,inf,inf,0,0.358319605,1,0.393327842,1,,,0,0.358319605,0,0.393327842,,
0.167,inf,inf,0,0.358319605,1,0.39291598,1,,,0,0.358319605,0,0.39291598,,
0.168,inf,inf,0,0.358319605,1,0.39291598,1,,,0,0.358319605,0,0.39291598,,
0.169,inf,inf,0,0.358319605,1,0.392092257,1,,,0,0.358319605,0,0.392092257,,
0.17,inf,inf,0,0.358319605,1,0.392092257,1,,,0,0.358319605,0,0.392092257,,
0.171,inf,inf,0,0.358319605,1,0.392092257,1,,,0,0.358319605,0,0.392092257,,
0.172,inf,inf,0,0.357907743,1,0.392092257,1,,,0,0.357907743,0,0.392092257,,
0.173,inf,inf,0,0.357907743,1,0.392092257,1,,,0,0.357907743,0,0.392092257,,
0.174,inf,inf,0,0.357907743,1,0.391680395,1,,,0,0.357907743,0,0.391680395,,
0.175,inf,inf,0,0.35708402,1,0.391680395,1,,,0,0.35708402,0,0.391680395,,
0.176,inf,inf,0,0.35708402,1,0.391680395,1,,,0,0.35708402,0,0.391680395,,
0.177,inf,inf,0,0.35708402,1,0.391680395,1,,,0,0.35708402,0,0.391680395,,
0.178,inf,inf,0,0.35708402,1,0.391268534,1,,,0,0.35708402,0,0.391268534,,
0.179,inf,inf,0,0.35708402,1,0.391268534,1,,,0,0.35708402,0,0.391268534,,
0.18,inf,inf,0,0.35708402,1,0.391268534,1,,,0,0.35708402,0,0.391268534,,
0.181,inf,inf,0,0.35708402,1,0.391268534,1,,,0,0.35708402,0,0.391268534,,
0.182,inf,inf,0,0.35708402,1,0.391268534,1,,,0,0.35708402,0,0.391268534,,
0.183,inf,inf,0,0.35708402,1,0.390856672,1,,,0,0.35708402,0,0.390856672,,
0.184,inf,inf,0,0.35708402,1,0.390856672,1,,,0,0.35708402,0,0.390856672,,
0.185,inf,inf,0,0.356672158,1,0.390856672,1,,,0,0.356672158,0,0.390856672,,
0.186,inf,inf,0,0.356672158,1,0.390856672,1,,,0,0.356672158,0,0.390856672,,
0.187,inf,inf,0,0.356672158,1,0.390856672,1,,,0,0.356672158,0,0.390856672,,
0.188,inf,inf,0,0.356672158,1,0.390856672,1,,,0,0.356672158,0,0.390856672,,
0.189,inf,inf,0,0.356672158,1,0.390444811,1,,,0,0.356672158,0,0.390444811,,
0.19,inf,inf,0,0.356672158,1,0.390032949,1,,,0,0.356672158,0,0.390032949,,
0.191,inf,inf,0,0.356672158,1,0.390032949,1,,,0,0.356672158,0,0.390032949,,
0.192,inf,inf,0,0.356260297,1,0.389621087,1,,,0,0.356260297,0,0.389621087,,
0.193,inf,inf,0,0.356260297,1,0.388797364,1,,,0,0.356260297,0,0.388797364,,
0.194,inf,inf,0,0.356260297,1,0.388385502,1,,,0,0.356260297,0,0.388385502,,
0.195,inf,inf,0,0.356260297,1,0.388385502,1,,,0,0.356260297,0,0.388385502,,
0.196,inf,inf,0,0.356260297,1,0.387973641,1,,,0,0.356260297,0,0.387973641,,
0.197,inf,inf,0,0.356260297,1,0.387973641,1,,,0,0.356260297,0,0.387973641,,
0.198,inf,inf,0,0.356260297,1,0.387973641,1,,,0,0.356260297,0,0.387973641,,
0.199,inf,inf,0,0.356260297,1,0.387561779,1,,,0,0.356260297,0,0.387561779,,
0.2,inf,inf,0,0.356260297,1,0.387149918,1,,,0,0.356260297,0,0.387149918,,
0.201,inf,inf,0,0.356260297,1,0.387149918,1,,,0,0.356260297,0,0.387149918,,
0.202,inf,inf,0,0.356260297,1,0.387149918,1,,,0,0.356260297,0,0.387149918,,
0.203,inf,inf,0,0.356260297,1,0.387149918,1,,,0,0.356260297,0,0.387149918,,
0.204,inf,inf,0,0.355436573,1,0.386326194,1,,,0,0.355436573,0,0.386326194,,
