timestamp,WiFi-val,truth-val
2019-07-02 04:45:00,3,1
2019-07-02 04:50:00,3,1
2019-07-02 04:55:00,3,1
2019-07-03 00:00:00,1,1
2019-07-03 00:05:00,1,1
2019-07-03 00:10:00,1,1
2019-07-03 00:15:00,1,1
2019-07-03 00:20:00,1,1
2019-07-03 00:25:00,1,1
2019-07-03 00:30:00,1,1
2019-07-03 00:35:00,1,1
2019-07-03 00:40:00,1,1
2019-07-03 00:45:00,1,1
2019-07-03 00:50:00,1,1
2019-07-03 00:55:00,1,1
2019-07-03 01:00:00,1,1
2019-07-03 01:05:00,1,1
2019-07-03 01:10:00,1,1
2019-07-03 01:15:00,1,1
2019-07-03 01:20:00,1,1
2019-07-03 01:25:00,1,1
2019-07-03 01:30:00,1,1
2019-07-03 01:35:00,1,1
2019-07-03 01:40:00,1,1
2019-07-03 01:45:00,1,1
2019-07-03 01:50:00,1,1
2019-07-03 01:55:00,1,1
2019-07-03 02:00:00,1,1
2019-07-03 02:05:00,1,1
2019-07-03 02:10:00,1,1
2019-07-03 02:15:00,1,1
2019-07-03 02:20:00,1,1
2019-07-03 02:25:00,1,1
2019-07-03 02:30:00,1,1
2019-07-03 02:35:00,1,1
2019-07-03 02:40:00,1,1
2019-07-03 02:45:00,1,1
2019-07-03 02:50:00,1,1
2019-07-03 02:55:00,1,1
2019-07-03 03:00:00,1,1
2019-07-03 03:05:00,1,1
2019-07-03 03:10:00,1,1
2019-07-03 03:15:00,1,1
2019-07-03 03:20:00,1,1
2019-07-03 03:25:00,1,1
2019-07-03 03:30:00,1,1
2019-07-03 03:35:00,1,1
2019-07-03 03:40:00,1,1
2019-07-03 03:45:00,1,1
2019-07-03 03:50:00,1,1
2019-07-03 03:55:00,1,1
2019-07-03 04:00:00,1,1
2019-07-03 04:05:00,1,1
2019-07-03 04:10:00,1,1
2019-07-03 04:15:00,1,1
2019-07-03 04:20:00,1,1
2019-07-03 04:25:00,1,1
2019-07-03 04:30:00,1,1
2019-07-03 04:35:00,1,1
2019-07-03 04:40:00,1,1
2019-07-03 04:45:00,1,1
2019-07-03 04:50:00,1,1
2019-07-03 04:55:00,1,1
2019-07-04 00:00:00,2,1
2019-07-04 00:05:00,2,1
2019-07-04 00:10:00,2,1
2019-07-04 00:15:00,2,1
2019-07-04 00:20:00,2,1
2019-07-04 00:25:00,2,1
2019-07-04 00:30:00,2,1
2019-07-04 00:35:00,2,1
2019-07-04 00:40:00,2,1
2019-07-04 00:45:00,2,1
2019-07-04 00:50:00,2,1
2019-07-04 00:55:00,2,1
2019-07-04 01:00:00,2,1
2019-07-04 01:05:00,2,1
2019-07-04 01:10:00,2,1
2019-07-04 01:15:00,2,1
2019-07-04 01:20:00,2,1
2019-07-04 01:25:00,2,1
2019-07-04 01:30:00,2,1
2019-07-04 01:35:00,2,1
2019-07-04 01:40:00,2,1
2019-07-04 01:45:00,2,1
2019-07-04 01:50:00,2,1
2019-07-04 01:55:00,2,1
2019-07-04 02:00:00,2,1
2019-07-04 02:05:00,2,1
2019-07-04 02:10:00,2,1
2019-07-04 02:15:00,2,1
2019-07-04 02:20:00,2,1
2019-07-04 02:25:00,2,1
2019-07-04 02:30:00,2,1
2019-07-04 02:35:00,2,1
2019-07-04 02:40:00,2,1
2019-07-04 02:45:00,2,1
2019-07-04 02:50:00,2,1
2019-07-04 02:55:00,2,1
2019-07-04 03:00:00,2,1
2019-07-04 03:05:00,2,1
2019-07-04 03:10:00,2,1
2019-07-04 03:15:00,2,1
2019-07-04 03:20:00,2,1
2019-07-04 03:25:00,2,1
2019-07-04 03:30:00,2,1
2019-07-04 03:35:00,2,1
2019-07-04 03:40:00,2,1
2019-07-04 03:45:00,2,1
2019-07-04 03:50:00,2,1
2019-07-04 03:55:00,2,1
2019-07-04 04:00:00,2,1
2019-07-04 04:05:00,2,1
2019-07-04 04:10:00,2,1
2019-07-04 04:15:00,2,1
2019-07-04 04:20:00,2,1
2019-07-04 04:25:00,2,1
2019-07-04 04:30:00,2,1
2019-07-04 04:35:00,2,1
2019-07-04 04:40:00,2,1
2019-07-04 04:45:00,2,1
2019-07-04 04:50:00,2,1
2019-07-04 04:55:00,2,1
2019-07-05 00:00:00,1,1
2019-07-05 00:05:00,1,1
2019-07-05 00:10:00,1,1
2019-07-05 00:15:00,1,1
2019-07-05 00:20:00,1,1
2019-07-05 00:25:00,1,1
2019-07-05 00:30:00,1,1
2019-07-05 00:35:00,1,1
2019-07-05 00:40:00,1,1
2019-07-05 00:45:00,1,1
2019-07-05 00:50:00,1,1
2019-07-05 00:55:00,1,1
2019-07-05 01:00:00,1,1
2019-07-05 01:05:00,1,1
2019-07-05 01:10:00,1,1
2019-07-05 01:15:00,1,1
2019-07-05 01:20:00,1,1
2019-07-05 01:25:00,1,1
2019-07-05 01:30:00,1,1
2019-07-05 01:35:00,2,1
2019-07-05 01:40:00,2,1
